00:00:02.320,00:00:03.680,绝大多数的中国人,,,
00:00:03.680,00:00:06.080,当时生活在贫困线,00:00:02.240,00:00:05.940,The vast majority of Chinese was living under the poverty line.
00:00:06.520,00:00:07.840,一辆汽车,,,
00:00:07.840,00:00:10.440,一架飞机都造不出来,00:00:06.780,00:00:10.340,We could not even make one car or one airplane.
00:00:11.680,00:00:14.960,中国今天的力已经覆盖全世界,00:00:11.780,00:00:15.120,"Today, China’s interests encompass the entire world."
00:00:15.600,00:00:17.720,你还不敢站出来捍卫自己的利益,00:00:15.560,00:00:19.700,"If you dare not stand up and defend your own interests, who will stand up for you?"
00:00:17.720,00:00:19.240,谁来捍卫你的,,,
00:00:21.320,00:00:23.320,这就是中国,00:00:21.440,00:00:24.980,China Now with Zhang Weiwei
00:00:23.440,00:00:25.320,请张维为说,,,
00:00:26.920,00:00:29.000,我随便最左的最右,,,
00:00:29.000,00:00:30.320,我们都可以沟通,00:00:27.220,00:00:30.900,"I'm open to anything. From the left to the right,
we are open to all communication."
00:00:30.920,00:00:32.360,民主自由,,,
00:00:32.440,00:00:33.040,人权,,,
00:00:33.760,00:00:35.320,所谓媒体控制,00:00:31.660,00:00:37.060,"""Democracy"", ""freedom"", ""human rights"",
the so-called ""media control"", ""Internet control"" ..."
00:00:35.840,00:00:37.760,互联网管控都可以,,,
00:00:37.920,00:00:38.600,的,00:00:37.240,00:00:39.660,We can talk about all these. Why not?
00:00:41.600,00:00:42.560,我是学政治学,,,
00:00:42.600,00:00:43.000,的,,,
00:00:43.480,00:00:44.720,我是研究政策,,,
00:00:45.320,00:00:47.840,后来又直接给中国最高领导者,00:00:41.840,00:00:48.120,I studied politics before I became the translator of our national leaders.
00:00:47.840,00:00:48.480,翻译,,,
00:00:48.960,00:00:51.040,我老说谈任何问题,,,
00:00:51.080,00:00:52.000,问题,,,
00:00:52.040,00:00:53.400,研究要经得起,00:00:49.220,00:00:55.300,"I always say, when you talk about any problems,
your research must stand up to being questioned."
00:00:53.920,00:00:54.960,你叫他去,,,
00:00:58.320,00:00:59.520,特别明显的一个感觉,,,
00:01:00.320,00:01:01.400,我们对外的,00:00:58.620,00:01:03.920,"I distinctly feel that our attitude towards
the outside world is much stronger."
00:01:01.440,00:01:04.080,一个态度要强势很多,,,
00:01:04.800,00:01:07.120,他在用很温和的方式,00:01:04.720,00:01:09.480,He expresses his views in a very gentle and rational way.
00:01:07.120,00:01:08.080,理性的方式,,,
00:01:08.120,00:01:09.840,在表达他的观点,,,
00:01:09.960,00:01:11.360,他的人我看也是这样,,,
00:01:11.360,00:01:12.960,我觉得这一点特别棒,00:01:10.080,00:01:13.340,"I think this is also true for him as a person, which makes him awesome."
00:01:14.280,00:01:15.440,那次了吧,,,
00:01:22.600,00:01:23.720,您这个书,,,
00:01:23.800,00:01:25.320,一边走一边写,00:01:22.740,00:01:26.380,Did you write this book and make notes as you travelled?
00:01:25.360,00:01:25.920,一边在,,,
00:01:26.320,00:01:28.440,我是有记日记的习惯的,00:01:26.640,00:01:28.600,I had the habit of keeping a diary.
00:01:28.480,00:01:30.760,后来我做博士论文的时候,00:01:28.760,00:01:31.040,"Later, when I was doing my doctoral dissertation,"
00:01:30.880,00:01:31.960,结果就在回顾,,,
00:01:31.960,00:01:32.960,当时在中国,,,
00:01:32.960,00:01:35.120,我们中国领导人跟外宾谈,00:01:31.040,00:01:35.860,"I reviewed the discussions on ""Reform and Opening""
between Chinese leaders and foreign guests."
00:01:35.120,00:01:36.080,改革开放,,,
00:01:36.080,00:01:39.760,所以就形成对现在叫中国道路上,00:01:36.440,00:01:39.880,"That was when I developed my own thoughts about
what we call ""the China Path"" today,"
00:01:39.760,00:01:42.440,就中国自己仅靠做法的事情,00:01:39.880,00:01:42.960,which is a series of practices of China.
00:01:48.880,00:01:50.560,我看到清凌站在这里,00:01:48.980,00:01:51.500,I see Qinglin has been standing there for a while.
00:01:50.600,00:01:53.680,这个就是我们第1集,,,
00:01:54.120,00:01:56.160,之前我们开的编前会的内容,00:01:51.520,00:01:56.500,This is what we discussed about Episode 1 in the production meeting.
00:01:56.160,00:01:56.880,现在,,,
00:01:57.120,00:01:58.240,是策划组的变迁,,,
00:01:58.360,00:01:59.880,是,00:01:57.300,00:01:59.740,The production meeting of the pre-production team?
00:02:00.040,00:02:00.360,对,00:01:59.740,00:02:00.620,Yes.
00:02:00.640,00:02:01.560,就拍这个片子,,,
00:02:01.560,00:02:02.200,对,00:02:00.620,00:02:03.520,"- Oh, you made it into a video?
- We did."
00:02:03.880,00:02:04.600,红玲,,,
00:02:04.600,00:02:05.800,呵呵,,,
00:02:06.080,00:02:06.960,他们都是您,,,
00:02:07.000,00:02:08.160,的老公学生,00:02:06.080,00:02:09.140,"- Are they all your students?
- They are."
00:02:08.480,00:02:09.960,您都给他们讲过,,,
00:02:10.000,00:02:10.920,课,00:02:09.220,00:02:11.400,"- You gave lectures to all of them?
-  I did."
00:02:11.120,00:02:12.920,只要孟晚舟这个事情出了以后,,,
00:02:13.120,00:02:14.680,就是各种声音分析评论,00:02:11.800,00:02:14.540,I heard all kinds of opinions on Meng Wanzhou's incident.
00:02:14.680,00:02:15.360,都有的时候,,,
00:02:15.400,00:02:16.440,就按照每家法律,00:02:14.720,00:02:17.620,"Some said that she should comply with US law,"
00:02:16.600,00:02:17.880,包括华为自己都说了,,,
00:02:17.880,00:02:20.000,相信每家的法律会给他公正,00:02:17.620,00:02:20.460,"and Huawei also said they believed that US
and Canadian laws would make an impartial judgement."
00:02:20.000,00:02:21.640,但是你要看外交部的发生,00:02:20.460,00:02:21.960,"But if you look at the announcement from the Ministry of Foreign Affairs,"
00:02:21.640,00:02:23.320,实际上这4个字立即放任,00:02:21.960,00:02:23.380,"it says ""release Ms. Meng Wanzhou immediately""."
00:02:23.360,00:02:24.800,他这个是加拿大本身,,,
00:02:24.800,00:02:26.640,是不是一个主要角色了,00:02:23.400,00:02:26.660,"In this incident, Canada itself is not the major player."
00:02:26.840,00:02:27.960,后面背后谁指使,00:02:26.660,00:02:28.640,We all understand who is behind this.
00:02:28.000,00:02:28.760,其实大家都明白,,,
00:02:28.760,00:02:30.280,是一个5G的问题,00:02:28.640,00:02:30.420,This is about 5G.
00:02:30.320,00:02:33.080,你即便为了打倒5G的巨人,00:02:30.420,00:02:35.020,"Even if they did this to defeat the 5G giant,
they have taken the stupidest approach."
00:02:33.120,00:02:34.600,也是用了一个最蠢的一个,,,
00:02:34.640,00:02:34.840,话,,,
00:02:34.880,00:02:35.600,比如说我自己,,,
00:02:35.600,00:02:36.720,我就特别受不了,00:02:35.100,00:02:38.140,"Personally speaking, I can't stand it when some professors say,"
00:02:37.080,00:02:37.760,有些教授说,,,
00:02:38.520,00:02:42.040,我们现在得先屈服投降,00:02:38.140,00:02:44.340,"""Oh, we must surrender now. Some core technologies
are not necessary for every country to have."""
00:02:42.320,00:02:43.040,有些核心技术,,,
00:02:43.080,00:02:44.480,不是每个国家必须掌握的,,,
00:02:44.520,00:02:45.840,我先把枪交出来,00:02:44.560,00:02:46.180,"It's like ""Oh, lay down our arms."""
00:02:45.880,00:02:47.720,谁告诉你交强不差,00:02:46.180,00:02:48.220,Who told you they won't kill when you lay down your arms?
00:02:47.760,00:02:48.160,要不在,,,
00:02:48.200,00:02:50.040,腰枪嘴干的是误杀,00:02:48.220,00:02:51.300,"Putting down the arms is your own choice, but killing is their decision."
00:02:50.040,00:02:51.240,是对面决定的事,,,
00:02:51.280,00:02:51.840,交枪不杀,,,
00:02:51.880,00:02:52.800,只有八路军做得到,00:02:51.300,00:02:53.580,Only the Eighth Route Army would let the surrenders live.
