00:00:00.000,00:00:03.000,"Empresses in the Palace—the Legend of Zhen Huan
Adapted from the novel by Liu Lian Zi",00:00:00.000,00:00:03.000,"Empresses in the Palace—the Legend of Zhen Huan
Adopted from the novel by Liu Lian Zi"
00:00:03.000,00:00:09.000,"[contact translators] carsenwei@yahoo.com
[subtitles subscription] liberapay.com/ZHZSubbers",00:00:03.000,00:00:09.000,"[contact translators] carsenwei@yahoo.com
[subscribe on homepage] liberapay.com/ZHZSubbers"
00:00:09.000,00:00:11.000,Theme: Unfortunate Love,00:00:09.000,00:00:11.000,Theme: Unfortunate Love
00:00:13.000,00:00:37.000,"Perturbed by the thoughts on my mind
no matter how hard I try to sever my love.",00:00:13.000,00:00:37.000,"Perturbed by the thoughts on my mind
no matter how hard I try to sever my love."
00:00:37.000,00:00:47.000,"I could give away my crown for the beauty by my side,",00:00:37.000,00:00:47.000,"I could give away my crown for the beauty by my side,"
00:00:48.000,00:00:59.000,"but the wheel of fortune turns weals into woes,
and woes into weals.",00:00:48.000,00:00:59.000,"but the wheel of fortune turns weals into woes,
and woes into weals."
00:00:59.000,00:01:11.000,"No one is the master of their own destiny,
the vicissitudes throughout their life.",00:00:59.000,00:01:11.000,"No one is the master of their own destiny,
the vicissitudes throughout their life."
00:01:11.000,00:01:22.000,"For the lovers of all time,
who can break the spell of romance?",00:01:11.000,00:01:22.000,"For the lovers of all time,
who can break the spell of romance?"
00:01:22.000,00:01:34.000,"I could give away my crown for the beauty by my side,",00:01:22.000,00:01:34.000,"I could give away my crown for the beauty by my side,"
00:01:34.000,00:01:41.000,"but the wheel of fortune turns weals into woes,
and woes into weals.",00:01:34.000,00:01:41.000,"but the wheel of fortune turns weals into woes,
and woes into weals."
00:01:45.000,00:01:56.000,"No one is the master of their own destiny,
the vicissitudes throughout their life.",00:01:45.000,00:01:56.000,"No one is the master of their own destiny,
the vicissitudes throughout their life."
00:01:56.000,00:02:07.000,"For the lovers of all time,
who can break the spell of romance?",00:01:56.000,00:02:07.000,"For the lovers of all time,
who can break the spell of romance?"
00:02:08.000,00:02:17.000,Who can break the spell of romance?,00:02:08.000,00:02:17.000,Who can break the spell of romance?
00:02:17.000,00:02:22.000,"[contact translators] carsenwei@yahoo.com
[subtitles subscription] liberapay.com/ZHZSubbers",00:02:17.000,00:02:22.000,"[contact translators] carsenwei@yahoo.com
[subscribe on homepage] liberapay.com/ZHZSubbers"
00:02:22.160,00:02:24.710,浣碧姐姐 您这身衣裳真好看,,,
00:02:25.000,00:02:26.190,方才在御膳房里,00:02:24.460,00:02:26.580,"Jade, you look gorgeous in this dress."
00:02:26.400,00:02:27.870,那些太监都看呆了呢,,,
00:02:28.480,00:02:30.750,我这身衣服和陵容小主是一样的,00:02:27.460,00:02:29.780,The eunuchs were stunned at the Imperial Kitchen.
00:02:31.240,00:02:33.310,是苏州进贡的浮光锦,00:02:31.040,00:02:32.700,This dress is the same as Lingrong's.
00:02:33.880,00:02:35.990,说起小主还是最疼姐姐了,00:02:33.600,00:02:35.600,It is the tributary Glinting Satin from Suzhou Province.
00:02:36.320,00:02:38.470,有什么好东西都留给姐姐一份,00:02:36.220,00:02:38.220,My Lady cares about you the most.
00:02:41.080,00:02:43.870,你说这身衣服是我穿着好看,00:02:38.360,00:02:40.360,She shares all the good things with you.
00:02:44.120,00:02:45.590,还是陵容小主穿着好看,00:02:43.320,00:02:47.340,Do you think I look more beautiful in this dress than Lingrong?
00:02:46.280,00:02:47.430,原是差不多的,,,
00:02:47.800,00:02:50.070,不过姐姐这对耳环更出众,00:02:48.640,00:02:49.860,The dress is equally beautiful.
00:02:50.360,00:02:51.390,是小主刚给的吧,00:02:49.980,00:02:51.940,But your earrings make you stand out
00:02:52.240,00:02:54.070,她原就是穷门小户出身,00:02:52.120,00:02:54.120,"They are the new gift from My Lady, aren't they?"
00:02:54.280,00:02:56.790,再好的料子用在她身上也是白费,00:02:54.700,00:02:56.360,Lingrong comes from a poor family.
00:02:57.320,00:02:59.710,那奴婢去采 小主当心脚下,00:02:56.360,00:02:58.500,Even the best satin is a waste on her.
00:03:01.680,00:03:02.630,小主您看,00:02:59.900,00:03:01.900,I will do the picking.
00:03:03.800,00:03:05.030,什么大惊小怪的,00:03:04.120,00:03:05.160,"My Lady, look!"
00:03:06.000,00:03:08.990,小主您瞧 浣碧穿的那套衣服,00:03:05.900,00:03:07.260,What's so surprising?
00:03:09.600,00:03:10.830,是不是您送给莞贵人的,00:03:07.920,00:03:13.900,"My Lady, is Jade wearing the dress
made of Glinting Satin that you gave to Lady Sourire?"
00:03:11.160,00:03:12.110,那套浮光锦,,,
00:03:14.320,00:03:15.070,果然是,,,
00:03:16.360,00:03:18.310,莞贵人也忒大方了,00:03:16.120,00:03:18.120,She is.
00:03:18.560,00:03:19.630,那么好的料子,00:03:18.400,00:03:20.400,Lady Sourire is very generous.
00:03:19.960,00:03:21.590,小主您自己都舍不得穿,,,
00:03:21.920,00:03:23.150,留了两件给她,00:03:20.860,00:03:25.380,"You would not even use such fine satin for yourself
and saved two pieces for her."
00:03:23.600,00:03:26.110,她倒好拿来打赏给下人了,,,
00:03:26.960,00:03:27.790,不许胡说,00:03:25.580,00:03:28.220,But she ... She gave it away to her maids?
00:03:30.840,00:03:32.470,浣碧是姐姐的陪嫁丫头,00:03:29.160,00:03:30.440,Don't speak like that.
00:03:33.440,00:03:36.230,她素日的穿戴也比别人好些,00:03:33.000,00:03:35.662,Jade is Sourire's dowry maid.
00:03:37.040,00:03:38.590,她不爱穿戴也就罢了,00:03:35.662,00:03:38.460,She usually wears better clothes than the other maids.
00:03:39.400,00:03:41.830,浣碧她再高贵也是个下人,00:03:39.080,00:03:40.800,"Even if Lady Sourire prefers not to wear it,"
00:03:42.200,00:03:44.790,赏给她那当小主您是什么,00:03:41.040,00:03:43.860,Jade is a servant after all.
,,,00:03:44.380,00:03:48.240,"What does it say about you
if Lady Sourire gives the dress to her maid?"
00:04:01.040,00:04:01.750,好香的味,,,
00:04:02.760,00:04:03.670,你怎么才回来,00:04:02.800,00:04:04.380,Smells delicious.
00:04:04.760,00:04:06.470,拿一些马蹄糕倒是容易,00:04:04.800,00:04:06.220,The errand took longer today.
00:04:06.760,00:04:08.870,只是看见御膳房有木薯粉,00:04:06.680,00:04:08.780,It didn't take long to get the water chestnut cakes.
00:04:09.120,00:04:10.310,就顺道拿了些过来,00:04:08.780,00:04:12.340,But I also took some cassava starch from the Imperial Kitchen.
00:04:10.920,00:04:12.510,想到夜里做珍珠丸子,,,
00:04:12.720,00:04:13.710,给小主当宵夜,,,
00:04:14.000,00:04:14.910,难为你想着了,00:04:13.400,00:04:15.660,I was thinking of making tapioca pearls as your dessert tonight.
00:04:20.920,00:04:22.630,自从安常在得宠,00:04:16.040,00:04:17.840,Thanks for thinking of me.
00:04:23.000,00:04:24.790,皇上也松泛了些,00:04:22.700,00:04:26.720,"With Attendant An, His Majesty became more relaxed at work."
00:04:25.280,00:04:26.790,从前皇上一批折子,,,
00:04:27.120,00:04:28.350,就是六七个时辰,,,
00:04:28.600,00:04:30.230,也不知道停下来歇息,00:04:27.460,00:04:32.220,"His Majesty used to work over 12 hours without a break.
[Emperor Yongzheng was one of the most diligent emperors]"
00:04:31.080,00:04:32.630,皇上听歌曲子放松些,,,
00:04:33.000,00:04:33.870,也是应当的,,,
00:04:34.160,00:04:37.510,你倒是懂事不比那华妃小性子,00:04:33.200,00:04:36.160,I'm glad His Majesty can be relaxed by her singing.
00:04:39.480,00:04:40.230,来,00:04:36.300,00:04:39.780,"You are very understanding, unlike the pettish Consort Fleur."
00:04:42.200,00:04:43.950,别怕只是只猫而已,00:04:41.580,00:04:43.580,Come here.
00:04:46.400,00:04:48.230,听说波斯进贡了一只猫,00:04:44.280,00:04:47.600,"Don't be scared, it's just a cat."
00:04:48.880,00:04:50.270,皇上赏给了三阿哥,,,
00:04:50.480,00:04:51.470,就是这只啊,00:04:48.500,00:04:52.900,"I heard that His Majesty received a cat from Persia ...
and rewarded it to the Third Prince."
00:04:52.160,00:04:53.310,三阿哥孝心,00:04:52.900,00:04:53.960,This is the cat.
00:04:53.520,00:04:55.190,知道齐妃喜欢养猫,,,
00:04:55.480,00:04:56.710,便送给了齐妃,00:04:54.000,00:04:58.660,"The Third Prince is a filial son.
He knows Consort Astuce is very fond of cats."
00:04:56.960,00:04:58.630,谁知那日齐妃抱了来,,,
00:04:58.920,00:05:00.350,倒是合本宫的眼缘,,,
00:05:01.120,00:05:03.430,齐妃便转赠给本宫了,00:04:59.020,00:05:02.720,"But when Consort Astuce brought the cat to me,
he sparked adoration by first sight."
00:05:04.240,00:05:06.630,本宫给它起了个名字 叫松子,00:05:03.140,00:05:05.900,So she gave him to me.
00:05:07.640,00:05:08.430,挺漂亮的,00:05:06.320,00:05:08.920,"I named him ""Pine Nut""."
00:05:09.440,00:05:10.390,你来抱抱,00:05:09.460,00:05:11.220,Pine Nut is very pretty.
00:05:12.760,00:05:14.870,本宫忘了你怕猫的,00:05:11.320,00:05:13.080,Would you like to hold him?
00:05:16.240,00:05:17.430,皇后关怀臣妾,00:05:15.040,00:05:18.220,I forgot that you are afraid of cats.
00:05:17.760,00:05:19.510,这等微末小事也放在心上,00:05:18.520,00:05:22.140,"It is very considerate of Your Majesty to
have remembered such a small thing."
00:05:21.200,00:05:22.270,来呀 坐,,,
00:05:26.520,00:05:28.470,其实本宫虽然很喜欢它,00:05:23.240,00:05:25.520,"Come, sit down."
00:05:28.760,00:05:30.510,却也得时时处处小心着,00:05:28.460,00:05:33.140,"Although I'm very fond of Pine Nut,
I always have to keep an eye on him."
00:05:31.440,00:05:32.750,毕竟是畜生,,,
00:05:32.960,00:05:35.510,万一不小心被它咬着伤了自己,,,
00:05:35.760,00:05:36.670,就不好了,00:05:33.520,00:05:38.600,"After all, any animal might bite no matter how tame it is."
00:05:36.920,00:05:37.990,皇后娘娘多虑了,,,
00:05:38.560,00:05:40.390,松子是您一手抚养的,00:05:38.840,00:05:40.480,Your Majesty must not worry about it.
00:05:40.840,00:05:41.750,很是温驯呢,,,
00:05:42.280,00:05:43.110,是么,00:05:40.600,00:05:43.980,Pine Nut is trained by Your Majesty and is very docile.
00:05:43.800,00:05:46.270,不过人心都难测何况是畜类,00:05:44.260,00:05:45.740,Is that so?
00:05:48.960,00:05:52.630,越是亲近温驯越就容易不留神哪,00:05:45.920,00:05:48.940,But an animal is even more unpredictable than a person.
,,,00:05:50.900,00:05:55.760,We might be careless when we are too close with them.
00:05:57.360,00:05:58.590,今夜是七夕,,,
00:05:58.840,00:06:00.910,皇上邀了各家王爷与宫中妃嫔,00:05:58.800,00:06:01.340,"Today is the Qixi Festival
[Chinese Valentine's Day, lunar July 7th]"
00:06:01.200,00:06:03.030,一同到畅春园去赏月,,,
00:06:03.560,00:06:04.590,你可别迟了,00:06:01.380,00:06:05.580,"His Majesty invited the concubines and the lords
to admire the moon at the Garden of Vibrant Spring."
00:06:05.680,00:06:06.270,是,00:06:05.640,00:06:07.120,Don't be late.
00:06:08.960,00:06:10.190,今日是七夕,00:06:07.540,00:06:08.560,Yes.
00:06:10.440,00:06:12.910,臣妾祝皇上皇后恩爱长久,00:06:10.560,00:06:12.220,"On the night of Qixi,"
00:06:13.280,00:06:14.230,万福万寿,00:06:12.280,00:06:16.520,I wish Your Majesties everlasting love and happiness.
00:06:26.360,00:06:29.550,安常州在真是难得,00:06:28.200,00:06:31.840,Aiyo ... How caring Attendant An is!
00:06:30.720,00:06:33.550,这让咱们做姐姐的都忘记了,,,
00:06:36.080,00:06:37.390,真是惭愧呀,00:06:32.460,00:06:39.280,It's a shame that we elder concubines forgot to propose a toast.
00:06:38.800,00:06:41.350,朕瞧着你桌上的葡萄是贡品,,,
00:06:41.960,00:06:43.030,不如拿来给朕吧,00:06:40.920,00:06:45.480,"I see you are having some tributary grapes.
You should bring them to me."
00:06:44.640,00:06:45.390,是,,,
00:06:48.560,00:06:50.310,皇上您自己也有啊,00:06:46.580,00:06:48.240,Yes.
00:06:50.880,00:06:52.630,为何要臣妾的呢,00:06:50.340,00:06:53.140,But Your Majesty ... you have the same grapes as well.
00:06:52.880,00:06:54.390,朕瞧你不顾着吃,00:06:53.140,00:06:54.880,Why do you want mine?
00:06:54.960,00:06:56.190,一个劲儿地说话,,,
00:06:56.520,00:06:58.790,不如给朕免得白白放着,00:06:54.940,00:06:58.360,They will be wasted if you keep talking instead of eating them.
00:07:03.240,00:07:06.710,皇上就是爱取笑臣妾,00:06:58.360,00:07:01.220,I'd better eat them for you.
